symbol,name,market_cap,24h_volume,use_case_summary,shariah_reasoning,timestamp
UNI,Uniswap,0,81098476,"Uniswap (UNI) is the governance token for the Uniswap Protocol, a non-custodial decentralized spot exchange. UNI enables community governance over protocol parameters and fee distribution mechanisms.",UNI governs a non-custodial spot exchange facilitating asset swaps without interest-bearing credit pools. Spot exchange governance is permissible (Halal) as it reflects genuine market trade facilitation.,2026-09-07T02:23:46.121390+00:00
NEAR,NEAR Protocol,0,89752643,"NEAR Protocol (NEAR) is a sharded Layer-1 blockchain utilizing Nightshade architecture to power user-friendly web3 apps and AI agent infrastructure. NEAR is used for transaction gas, storage fees, and validator staking.","NEAR provides tangible utility for cloud compute gas, storage allocation, and staking. It contains no interest-bearing lending structures and supports Halal economic activity.",2026-09-07T02:23:46.121390+00:00
APT,Aptos,0,5075527,"Aptos (APT) is a Layer-1 blockchain built with the Move programming language for parallel transaction execution and high safety. APT is required for gas, transaction fees, and consensus staking.",APT serves as native gas and validator collateral for an L1 execution engine. It demonstrates clear utility with no Riba or gambling dependencies.,2026-09-07T02:23:46.121390+00:00
ICP,Internet Computer,0,12034902,Internet Computer (ICP) is a decentralized cloud network capable of hosting smart contracts and web services at web speed. ICP is burned for cycles to compute web apps and staked in governance neurons.,ICP has direct utility as compute cycles (gas) for web hosting and decentralized cloud infrastructure. It represents real economic compute resources and is Shariah compliant.,2026-09-07T02:23:46.121390+00:00
XLM,Stellar,0,13196730,Stellar (XLM) is an open-source payment network designed to connect global financial institutions for low-cost fiat tokenization and remittances. XLM acts as the bridge asset and transaction fee token.,XLM provides payment utility as anti-spam gas and cross-border settlement bridge. It complies with Islamic finance principles regarding transaction efficiency and medium of exchange.,2026-09-07T02:23:46.121390+00:00
SUI,Sui,0,58515279,"Sui (SUI) is an object-centric Layer-1 blockchain designed for low latency, instant settlement, and rich gaming assets. SUI is used for gas fees, storage fund deposits, and validator staking.","SUI provides gas and storage deposit utility for an L1 smart contract protocol. It meets all criteria for utility, ownership, and absence of Riba.",2026-09-07T02:23:46.121390+00:00
ARB,Arbitrum,0,73803375,"Arbitrum (ARB) is an optimistic rollup Layer-2 scaling solution for Ethereum. ARB is the governance token for the Arbitrum DAO, controlling protocol upgrades and treasury allocations.",ARB provides governance utility over Ethereum L2 scaling infrastructure. It represents real tech utility without interest lending or non-compliant revenue streams.,2026-09-07T02:23:46.121390+00:00
INJ,Injective Protocol,0,9171847,"Injective (INJ) is an interoperable Layer-1 blockchain customized for decentralized financial applications, spot DEXs, and orderbook infrastructure. INJ is used for gas, staking, and auction burn mechanisms.","INJ functions as L1 gas, staking collateral, and fee burn utility for spot exchange execution. Its spot orderbook architecture is Halal and free of mandatory Riba.",2026-09-07T02:23:46.121390+00:00
BNB,BNB,0,124605123,"BNB (BNB) is the native utility token of BNB Chain and Binance ecosystem. It is used for transaction gas fees, staking, launchpad participation, and fee discounts.","BNB is an established gas and fee utility token for a major L1 ecosystem. Its primary function is transaction fee payment and discount utility, which is Halal.",2026-09-07T02:23:46.121390+00:00
TRX,TRON,0,16427166,TRON (TRX) is a Layer-1 smart contract platform focused on high-throughput transactions and global USDT payment routing. TRX is used for bandwidth/energy gas fees and Super Representative staking.,TRX functions as network bandwidth and energy gas for stablecoin transactions. It provides clear utility as payment infrastructure.,2026-09-07T02:23:46.121390+00:00
TAO,Bittensor,0,64352655,Bittensor (TAO) is an open-source decentralized machine learning network. TAO rewards validators and miners for producing machine intelligence across specialized subnets.,"Rewards go to validators/miners performing real ML work (proof-of-intelligence). Fee-for-service structure, not lending-based.",2026-09-07T02:23:46.121390+00:00
FET,Artificial Superintelligence Alliance,0,13813789,Artificial Superintelligence Alliance (FET) is a decentralized autonomous AI agent network and machine learning compute infrastructure.,Token pays for AI agent compute/execution — direct service utility.,2026-09-07T02:23:46.121390+00:00
TIA,Celestia,0,12944059,Celestia (TIA) is a modular consensus and data availability blockchain network enabling scalable rollup deployment.,"Fee is paid for real blockspace/data-availability service. Staking reward is validator compensation, not fixed-return lending.",2026-09-07T02:23:46.121390+00:00
OP,Optimism,0,9727181,Optimism (OP) is a leading Ethereum Layer-2 optimistic rollup ecosystem powering the OP Stack and Superchain architecture.,Gas + governance token for L2 infra. No embedded interest mechanic.,2026-09-07T02:23:46.121390+00:00
BCH,Bitcoin Cash,0,8659725,"Bitcoin Cash (BCH) is a peer-to-peer electronic cash system designed as a fast, low-cost decentralized medium of exchange fork of Bitcoin.","Pure P2P medium of exchange, no yield/lending layer at all. Closest to the currency analogy scholars use for BTC.",2026-09-07T02:23:46.121390+00:00
FIL,Filecoin,0,8262775,Filecoin (FIL) is a decentralized peer-to-peer data storage network where miners receive rewards for providing verifiable physical hard drive storage.,"Miners are paid for verifiably storing real data — tangible service rendered, reward tied to work performed.",2026-09-07T02:23:46.121390+00:00
RENDER,Render,0,6821773,Render Network (RENDER) is a decentralized GPU computing network connecting artists and AI researchers with distributed GPU compute operators.,Direct payment for GPU compute rendered — clean fee-for-service model.,2026-09-07T02:23:46.121390+00:00
STRK,Starknet,0,5811010,Starknet (STRK) is an Ethereum Layer-2 Validity Rollup (ZK-Rollup) using STARK cryptographic proofs for high throughput and low gas fees.,"L2 gas/staking, same validator-service logic as TIA/OP.",2026-09-07T02:23:46.121390+00:00
GRT,The Graph,0,4814808,The Graph (GRT) is a decentralized indexing and query protocol for querying blockchain networks using open GraphQL APIs.,"Delegators earn based on indexer query-fee performance and bear slashing risk — profit-and-loss-sharing structure, not a guaranteed fixed return, which is the key distinction from riba.",2026-09-07T02:23:46.121390+00:00
SEI,Sei Network,0,4213091,"Sei Network (SEI) is a high-speed, parallelized Layer-1 blockchain optimized for trading execution and digital asset applications.","General-purpose L1 gas/staking token, same validator-service logic.",2026-09-07T02:23:46.121390+00:00
